From,To,Type
mv_moana,wr_chwi,7
mv_piratefair,wr_crge,7
mv_sofia,wr_crge,7
mv_wondersdeep,wr_daba,7
mv_bolt,wr_dafo,7
mv_cars,wr_dafo,7
mv_cars2,wr_dafo,7
mv_tang,wr_dafo,7
mv_bh6,wr_dage,7
mv_monsters,wr_dage,7
mv_monstersuni,wr_dage,7
mv_brbear,wr_daho,7
mv_alad,wr_daji,7
mv_blcaul,wr_dajo,7
mv_turbo,wr_dale,7
mv_musketeers,wr_damev,7
mv_foxho,wr_dami,7
mv_olicomp,wr_dami,7
mv_resc,wr_dami,7
mv_tgmouse,wr_dami,7
mv_nemo,wr_dare,7
mv_alad,wr_daro,7
mv_monstersuni,wr_dasc,7
mv_turbo,wr_daso,7
mv_alad,wr_dass,7
mv_gepetto,wr_dast,7
mv_wondersdeep,wr_dawa,7
mv_alice,wr_deco,7
mv_thrcab,wr_deco,7
mv_alice,wr_dihu,7
mv_dumbo,wr_dihu,7
mv_fant,wr_dihu,7
mv_mmmus,wr_dihu,7
mv_alice,wr_dike,7
mv_mmmus,wr_dike,7
mv_mmmus,wr_diki,7
mv_snow,wr_diri,7
mv_resc,wr_dise,7
mv_mmmus,wr_dish,7
mv_snow,wr_dobl,7
mv_lattr,wr_doda,7
mv_merpop,wr_doda,7
mv_hercules,wr_dodo,7
mv_moana,wr_doha,7
mv_mtr,wr_doha,7
mv_abuli,wr_domc,7
mv_hercules,wr_domc,7
mv_poca,wr_duma,7
mv_snow,wr_eahu,7
mv_foxho,wr_eakr,7
mv_wild,wr_edde,7
mv_liki,wr_edgo,7
mv_poca,wr_edgo,7
mv_lands2,wr_edgu,7
mv_ouach,wr_edgu,7
mv_tiggermv,wr_edgu,7
mv_tlmm2,wr_edgu,7
mv_tlmm2,wr_elan,7
mv_funff,wr_elde,7
mv_tlmm2,wr_eldha,7
mv_thrcab,wr_elpl,7
mv_tgoodi,wr_erbe,7
mv_aristo,wr_ercl,7
mv_mapooh,wr_ercl,7
mv_mmmus,wr_ergr,7
mv_mmmus,wr_ergu,7
mv_alice,wr_erpe,7
mv_cind,wr_erpe,7
mv_ichtoad,wr_erpe,7
mv_lattr,wr_erpe,7
mv_mmmus,wr_erpe,7
mv_pinocchio,wr_erpe,7
mv_ppan,wr_erpe,7
mv_tsby,wr_erpe,7
mv_thrcab,wr_erte,7
mv_mulan,wr_eubosi,7
mv_heffalump,wr_evsp,7
mv_jungle2,wr_evsp,7
mv_musketeers,wr_evsp,7
mv_cars3,wr_eypo,7
mv_jungle,wr_flno,7
mv_looney,wr_frbeteav,7
mv_alad,wr_frgl,7
mv_hercules,wr_frgl,7
mv_liki,wr_frgl,7
mv_poca,wr_frgl,7
mv_resc,wr_frlu,7
mv_aristo,wr_frth,7
mv_resc,wr_frth,7
mv_liki,wr_gatr,7
mv_olicomp,wr_gatr,7
mv_indy,wr_gelu,7
mv_starwars,wr_gelu,7
mv_poca,wr_glke,7
mv_chrrob,wr_grbr,7
mv_tpatf,wr_grer,7
mv_alad19,wr_guri,7
mv_tugduck,wr_haan,7
mv_ironman,wr_haos,7
mv_cind,wr_hare,7
mv_funff,wr_hare,7
mv_ichtoad,wr_hare,7
mv_mmmus,wr_hare,7
mv_salam,wr_hare,7
mv_cind,wr_hobr,7
mv_funff,wr_hobr,7
mv_ichtoad,wr_hobr,7
mv_mmmus,wr_hobr,7
mv_salam,wr_hobr,7
mv_thrcab,wr_hobr,7
mv_brave,wr_irme,7
mv_hercules,wr_irme,7
mv_mmmus,wr_jabo,7
mv_thrcab,wr_jabo,7
mv_moana,wr_jabu,7
mv_muppets,wr_jabu,7
mv_zoo,wr_jabu,7
mv_alad,wr_jafu,7
mv_guards,wr_jagu,7
mv_coco,wr_jaka,7
mv_olicomp,wr_jama,7
mv_emojii,wr_jamo,7
mv_tpatf,wr_jaor,7
