id,name,art,prod,year,income
mv_inc,The Incredibles,1,3,2004,633000000
mv_inc2,The Incredibles2,1,3,2018,1243000000
mv_inout,Inside Out,1,3,2015,857600000
mv_irongiant,The Iron Giant,1,99,1999,31300000
mv_jafar,The Return of Jafar,1,2,1994,0
mv_jampch,James and the giant Peach,1,1,1996,28946127
mv_jjatt,Jack-Jack-Attack,1,3,2005,0
mv_jungle,The Jungle Book,1,8,1967,205843612
mv_jungle2,The Jungle Book 2,1,2,2003,135700000
mv_kinhrts,Kingdom Hearts,99,99,2002,0
mv_ladnight,Ladies Night,1,2,2002,0
mv_lands,Lilo & Stitch,1,2,2002,273100000
mv_lattr,Lady and the Tramp,1,8,1955,187000000
mv_liki,The Lion King,1,2,1994,968500000
mv_liki2,The Lion King 3,1,2,2004,0
mv_luxo,Luxo Jr.,1,3,1986,0
mv_mapooh,The many Adventures of Winnie the Pooh,1,8,1977,0
mv_merpop,Merry Poppins,1,1,1964,102272727
mv_mmmus,Make mine Music,1,1,1946,3275000
mv_moana,Moana Film,1,2,2016,643300000
mv_monster,The Monster of Phineas-n-Ferbenstein,1,2,2008,0
mv_monsters,"Monsters, Inc.",1,3,2001,577400000
mv_monstersuni,Monsters University,1,3,2013,744200000
mv_mtr,Meet the Robinsons,1,2,2007,169300000
mv_mulan,Mulan Film,1,1,1998,304320254
mv_muppets,The Muppets,1,99,1979,0
mv_musketeers,The Three Musketeers,1,2,2004,0
mv_nbchr,Nightmare before Christmas,1,6,1993,76200000
mv_nemo,Finding Nemo,1,3,2003,940300000
mv_olicomp,Oliver and Company,1,2,1988,74151346
mv_oswald,Oswald the Lucky Rabbit Film,1,99,1927,0
mv_ouach,Mickey's Once upon a Christmas,1,2,1999,0
mv_paperman,Paperman,1,2,2012,0
mv_pigbm,Piglet's Big Movie,1,2,2003,62900000
mv_pinocchio,Pinocchio Film,1,8 oder 2?,1940,84200000
mv_piratefair,The Pirate Fairy,1,2,2014,64900000
mv_planefr,Planes: Fire & Rescue,1,2,2014,151400000
mv_planes,Planes,1,2,2013,239300000
mv_poca,Pocahontas 1,1,2,1995,346100000
mv_poca2,Pocahontas 2,1,2,1998,0
mv_ppan,Peter Pan (Film),1,8,1953,87404651
mv_ppanret,Peter Pan Returns,1,8,1996,0
mv_presto,Presto,1,4,2008,0
mv_ralphbrk,Ralph Breaks the Internet,1,2,2018,529300000
mv_rapunzel,Rapunzel (Film),1,1,1984,0
mv_ratatou,Ratatouille,1,3,2007,620700000
mv_recess,Recess: School's Out,1,2,2001,44500500
mv_redsdr,Red's Dream,1,4,1987,0
mv_resc,The Rescuers,1,8,1977,169000000
mv_resc2,The Rescuers Down Under,1,1,1990,47431461
mv_rhood,Robin Hood (Film),1,8,1973,32056467
mv_rtneverl,Return to Never Land,1,2,2002,109000000
mv_salam,Saludos Amigos,1,1,1942,1135000
mv_secotw,Secret of the Wings,1,2,2012,67500000
mv_simpsons,Simpsons,1,99,1989,0
mv_snow,Snow White and the Seven Dwarfs,1,1,1937,1700000000
mv_sofia,Sofia the First,1,2,2012,0
mv_starwars,Star Wars,1,5,1977,460998007
mv_stbtwl,Steamboat Willie,1,1,1928,0
mv_stitch,Stitch! The Movie,1,2,2003,0
mv_swits,The Sword in the Stone,1,8,1963,22182353
mv_tang,Tangled,1,2,2010,591800000
mv_tarzan,Tarzan,1,2,1999,448200000
mv_teapet,Teacher’s Pet,1,2,2004,6500000
mv_tgmouse,The Great Mouse Detective,1,1,1986,38700000
mv_tgoodi,The Good Dinosaur,1,3,2015,332200000
mv_thrcab,The Three Caballeros,1,1,1944,33550000
mv_tiggermv,The Tigger Movie (Film),1,2,2000,96200000
mv_tinkerlnb,Tinker Bell and the Legend of the NeverBeast,1,2,2015,31200000
mv_tlmm,The Little Mermaid,1,2,1989,211300000
mv_tlmm2,The little Mermaid II,1,2,2000,0
mv_toaster,The Breave little Toaster,1,1,1987,2300000
mv_toyst,Toy Story,1,3,1995,373600000
mv_toyst2,Toy Story 2,1,3,1999,497400000
mv_toyst3,Toy Story 3,1,3,2010,1067000000
mv_toyst4,Toy Story 4,1,3,2019,1018000000
mv_toystterr,Toy Story of Terror,1,3,2013,0
mv_toysttf,Toy Story That Time Forgot,1,3,2014,0
mv_tpatf,The Princess and the Frog,1,2,2009,271000000
mv_treasurepl,Treasure Planet,1,1,2002,109578115
mv_tsby,Sleeping Beauty,1,2,1959,51600000
mv_tuach,Mickey's Twice upon a Christmas,1,1,2004,0
mv_tugduck,The Ugly Duckling,1,2,1939,0
mv_turbo,Turbo (Film),1,99,2013,282570682
mv_up,Up,1,3,2009,735100000
mv_walle,Wall-E (Film),1,3,2008,533300000
mv_whofrrr,Who Framed Roger Rabbit,1,6,1988,329800000
mv_wild,The Wild,1,2,2006,102338515
mv_wir,Wreck it Ralph,1,2,2012,471200000
mv_wisehen,The Wise Little Hen,1,1,1934,0
mv_wondersdeep,Wonders of the Deep,1,99,2015,0
mv_zoo,Zootopia,1,2,2016,1024000000
fig_audwoo,J. Audubon Woodlore ,2,,,
fig_aurora,Aurora,2,,,
fig_cherna,Chernabog,2,,,
fig_duckduck,Duck and ducklings,2,,,
fig_mexhldog,Mexican Hairless Dog,2,,,
fig_muwok,Mulan Wok Restaurant,4,,,
fig_rc,RC,2,,,
fig_triodelrio,Trio Ascencio del Rio,2,,,
fig_trusty,Trusty,2,,,
fig_ttrex,Tiny the T-Rex,2,,,
fig_marvcom,Marvel Comics,4,,,
di_jomu,John Musker Director,6,,,
fig_scarprepared,Be Prepared,4,,,
di_rocl,Ron Clements Director,6,,,
fig_wolfmakemusic,Wolf Makes Music,4,,,
fig_theblrd,The Bluebird,2,,,
